Contig	SoftClippedBases	TotalBases	Fraction
NODE_989_length_28843_cov_3.788617	169531	2205472	0.0768684
NODE_2183_length_22841_cov_3.114942	376613	2476215	0.152092
NODE_2549_length_21727_cov_3.567089	69125	1551012	0.0445677
NODE_1650_length_24873_cov_3.171833	267333	1859564	0.143761
NODE_647_length_32144_cov_3.492152	242141	2532515	0.0956129
NODE_1799_length_24275_cov_3.389808	160565	1809968	0.0887115
NODE_2179_length_22853_cov_3.593390	99884	1647500	0.0606276
NODE_1105_length_27936_cov_3.775766	160817	2016572	0.0797477
NODE_1582_length_25166_cov_3.276100	363784	2871950	0.126668
NODE_3126_length_20246_cov_3.766169	184001	1616450	0.11383
NODE_892_length_29596_cov_3.521884	161205	2186829	0.0737163
NODE_1911_length_23738_cov_3.369686	122135	1759865	0.0694002
NODE_143_length_44289_cov_3.666486	469090	4100846	0.114389
NODE_82_length_49654_cov_3.793744	512678	4879564	0.105066
NODE_1673_length_24764_cov_3.339347	442691	2436851	0.181665
NODE_237_length_40499_cov_3.593960	210698	3010169	0.0699954
NODE_987_length_28849_cov_3.533948	212118	2320334	0.091417
NODE_2151_length_22952_cov_3.429965	91641	1716475	0.0533891
NODE_913_length_29440_cov_3.329539	186966	2230443	0.0838246
NODE_291_length_38859_cov_3.870666	239228	3005747	0.0795902
NODE_2671_length_21406_cov_3.949594	531215	2460201	0.215923
NODE_1407_length_26071_cov_4.245495	97530	1920522	0.0507831
NODE_109_length_46315_cov_3.793621	452979	4118246	0.109993
NODE_824_length_30266_cov_3.954752	382423	3844678	0.0994681
NODE_469_length_34656_cov_3.463698	310829	2787411	0.111512
NODE_2972_length_20592_cov_3.470161	346437	1902619	0.182084
NODE_1962_length_23581_cov_3.253769	400263	2185567	0.183139
NODE_2962_length_20614_cov_3.457421	335142	3041627	0.110185
NODE_1302_length_26674_cov_4.127112	93833	1864829	0.0503172
NODE_552_length_33506_cov_3.392343	363967	2645073	0.137602
NODE_464_length_34791_cov_3.557045	435648	3552572	0.122629
NODE_3094_length_20307_cov_3.396823	124728	1487500	0.0838508
NODE_438_length_35303_cov_3.798404	340164	2964159	0.114759
NODE_2963_length_20612_cov_3.640959	175283	1615487	0.108502
NODE_2385_length_22203_cov_3.173996	377792	2304784	0.163916
NODE_505_length_34119_cov_3.405556	278022	2887609	0.096281
NODE_2258_length_22597_cov_3.420704	136423	1677868	0.0813073
NODE_1780_length_24370_cov_3.415269	190912	1951941	0.0978062
NODE_2527_length_21796_cov_5.725077	723114	6751535	0.107104
NODE_1265_length_26941_cov_3.165859	245854	2123639	0.11577
NODE_3114_length_20264_cov_3.585172	265808	1795572	0.148035
NODE_960_length_29132_cov_3.477216	214157	2162151	0.0990481
NODE_1571_length_25234_cov_3.497116	137517	1882254	0.0730597
NODE_337_length_37657_cov_4.169711	158535	2851389	0.0555992
NODE_1017_length_28667_cov_3.535844	343841	2709683	0.126893
NODE_2121_length_23078_cov_3.437225	495056	3461651	0.143012
NODE_1061_length_28269_cov_3.948988	148341	2046952	0.0724692
NODE_1868_length_23944_cov_3.883414	168276	1876614	0.08967
NODE_1574_length_25225_cov_3.436998	154211	1886251	0.0817553
NODE_2069_length_23272_cov_3.517197	408446	2347074	0.174023
NODE_1640_length_24922_cov_3.872538	191710	2095560	0.0914839
NODE_2044_length_23337_cov_3.582795	171906	1857008	0.0925715
NODE_1319_length_26548_cov_3.258157	154082	2029044	0.0759382
NODE_169_length_42659_cov_3.684328	324814	3255739	0.0997666
NODE_2495_length_21872_cov_3.452257	672193	3287858	0.204447
NODE_2588_length_21627_cov_3.674238	166143	1530218	0.108575
NODE_1331_length_26514_cov_3.218626	555546	2681705	0.207161
NODE_440_length_35265_cov_3.647756	160546	2679109	0.0599251
NODE_2473_length_21965_cov_3.426873	3479722	20543372	0.169384
NODE_3166_length_20178_cov_3.514617	149414	1656983	0.0901723
NODE_1786_length_24357_cov_3.207107	678342	2539919	0.267072
NODE_908_length_29466_cov_3.834883	138128	2102019	0.0657121
NODE_2585_length_21633_cov_3.605322	112498	1589452	0.0707779
NODE_1178_length_27483_cov_3.257084	559685	2893695	0.193415
NODE_233_length_40653_cov_3.935740	165340	2927048	0.0564869
NODE_3195_length_20119_cov_3.200699	335741	1783145	0.188286
NODE_3046_length_20399_cov_3.393892	233278	1807052	0.129093
NODE_633_length_32233_cov_3.589065	299213	2514986	0.118972
NODE_2398_length_22175_cov_3.345352	502812	2504025	0.200802
NODE_1038_length_28401_cov_3.893859	110092	2389472	0.0460738
NODE_2619_length_21513_cov_3.551322	148151	1664041	0.0890309
NODE_728_length_31209_cov_3.192093	191517	2459649	0.0778635
NODE_2085_length_23227_cov_3.189813	1080837	5238032	0.206344
NODE_224_length_40885_cov_3.756142	206495	2913539	0.0708743
NODE_724_length_31264_cov_3.710156	162571	2376135	0.0684183
NODE_2233_length_22676_cov_3.663994	133552	1603376	0.0832942
NODE_1016_length_28681_cov_3.789308	167031	2196783	0.0760344
NODE_806_length_30485_cov_5.313138	214558	3545388	0.0605175
NODE_3061_length_20362_cov_3.560677	110902	1586007	0.0699253
NODE_1022_length_28599_cov_3.422702	329541	2648398	0.12443
NODE_658_length_32048_cov_3.519672	147576	2342592	0.0629969
NODE_1689_length_24685_cov_3.738957	147038	1778494	0.0826756
NODE_2018_length_23400_cov_3.277799	137986	1784731	0.0773147
NODE_11_length_69074_cov_3.575571	367268	5236781	0.0701324
NODE_3049_length_20397_cov_3.535324	381615	2361828	0.161576
NODE_418_length_35786_cov_3.452462	326799	2979105	0.109697
NODE_354_length_37335_cov_3.899130	435648	3402131	0.128052
NODE_1256_length_26980_cov_3.927607	139692	2051554	0.0680908
NODE_2555_length_21718_cov_3.437162	118820	1537076	0.0773026
NODE_1354_length_26327_cov_3.895036	306209	2683398	0.114112
NODE_3127_length_20246_cov_3.601926	66386	1486801	0.0446502
NODE_192_length_42042_cov_3.647998	270239	3203418	0.0843596
NODE_2956_length_20625_cov_3.479636	217656	1810982	0.120187
NODE_1134_length_27739_cov_3.714038	228062	2211844	0.103109
NODE_1686_length_24702_cov_3.387351	234293	2469125	0.0948891
NODE_574_length_33177_cov_3.760898	235263	2772162	0.0848663
NODE_1830_length_24112_cov_3.846875	257551	2214364	0.116309
NODE_1568_length_25248_cov_5.394926	463675	3126161	0.148321
NODE_3079_length_20330_cov_3.720676	382837	2595868	0.147479
NODE_2346_length_22315_cov_3.865367	283436	2044020	0.138666
NODE_3225_length_20054_cov_3.916913	97141	1462854	0.0664051
NODE_3155_length_20203_cov_3.197622	161951	1749166	0.0925876
NODE_1527_length_25437_cov_3.725827	136477	1885312	0.0723896
NODE_1785_length_24357_cov_3.775126	126489	1970039	0.0642063
NODE_1276_length_26829_cov_3.559746	272025	2053434	0.132473
NODE_2654_length_21444_cov_3.250972	91883	1452292	0.0632676
NODE_1294_length_26749_cov_3.576660	252282	2131134	0.118379
NODE_352_length_37364_cov_3.455816	335785	3046126	0.110233
NODE_309_length_38491_cov_3.634924	504175	3535307	0.142611
NODE_685_length_31794_cov_4.082190	364577	3260778	0.111807
NODE_777_length_30793_cov_3.674301	230048	2478076	0.0928333
NODE_1034_length_28461_cov_4.068331	1152230	5102697	0.225808
NODE_2025_length_23381_cov_3.595138	174666	1946141	0.0897499
NODE_3070_length_20346_cov_3.502346	636204	3472102	0.183233
NODE_2345_length_22317_cov_3.530066	133759	1674648	0.0798729
NODE_1874_length_23917_cov_3.707364	89731	1733530	0.051762
NODE_2207_length_22762_cov_3.288885	197621	1786052	0.110647
NODE_2936_length_20675_cov_3.625923	192677	1620338	0.118912
NODE_57_length_52818_cov_3.717142	302163	3863838	0.0782028
NODE_1147_length_27654_cov_3.620214	122416	2085148	0.0587085
NODE_1039_length_28400_cov_3.863220	119246	2122825	0.0561733
NODE_2594_length_21612_cov_3.311161	118585	1562516	0.0758936
NODE_631_length_32278_cov_3.780323	273944	2716692	0.100837
NODE_478_length_34508_cov_3.886076	179313	2647361	0.0677327
NODE_3179_length_20145_cov_2.935000	1228102	4366450	0.281259
NODE_513_length_34018_cov_3.234559	411288	2714157	0.151534
NODE_392_length_36220_cov_3.148003	264392	2673325	0.0989001
NODE_106_length_46410_cov_3.501587	211988	3545071	0.059798
NODE_3141_length_20219_cov_3.564960	129345	1551598	0.0833624
NODE_1470_length_25770_cov_3.890538	216907	2018092	0.107481
NODE_1822_length_24145_cov_3.720619	144745	1571627	0.0920988
NODE_3060_length_20362_cov_4.117159	1384450	9960260	0.138997
NODE_2429_length_22078_cov_3.353201	150782	1772477	0.0850685
NODE_912_length_29444_cov_3.905469	513365	2974053	0.172615
NODE_2891_length_20783_cov_3.861632	201646	1798525	0.112117
NODE_1106_length_27929_cov_3.366116	258265	2138415	0.120774
NODE_2663_length_21431_cov_3.382524	545825	2299142	0.237404
NODE_1526_length_25439_cov_3.358682	178970	1936855	0.0924024
NODE_2599_length_21604_cov_3.766147	296609	2249911	0.131831
NODE_1088_length_28087_cov_3.725096	393887	2637393	0.149347
NODE_3142_length_20216_cov_3.464035	132696	1517472	0.0874454
NODE_1358_length_26310_cov_3.440960	290757	2378460	0.122246
NODE_1465_length_25795_cov_3.645353	81764	1963758	0.0416365
NODE_2286_length_22520_cov_3.216360	363019	1900331	0.191029
NODE_1395_length_26141_cov_3.624875	447477	2943706	0.152011
NODE_100_length_47095_cov_3.782811	334698	3422491	0.0977937
NODE_2062_length_23296_cov_3.516101	111582	1656965	0.0673412
NODE_1735_length_24544_cov_3.994273	2601374	15375492	0.16919
NODE_2160_length_22920_cov_3.609000	81387	1743840	0.0466711
NODE_1521_length_25498_cov_3.286271	250215	2113279	0.118401
NODE_2872_length_20824_cov_3.276912	1044503	5391968	0.193715
NODE_715_length_31401_cov_3.456329	424129	2969718	0.142818
NODE_627_length_32339_cov_3.659646	148139	2437407	0.0607773
NODE_656_length_32059_cov_4.316239	241988	2473781	0.0978211
NODE_1863_length_23961_cov_3.533275	169441	1921343	0.0881888
NODE_2436_length_22056_cov_3.815412	159380	1672768	0.0952792
NODE_92_length_48092_cov_3.743275	439762	4105531	0.107115
NODE_1814_length_24189_cov_3.354961	484384	2566189	0.188756
NODE_1156_length_27631_cov_3.838697	121737	1962761	0.0620233
NODE_2142_length_23022_cov_3.276273	427676	3031865	0.14106
NODE_1260_length_26961_cov_3.525985	142941	2036574	0.070187
NODE_3147_length_20210_cov_3.908259	122215	1537523	0.0794882
NODE_2217_length_22715_cov_3.373541	515091	2670973	0.192848
NODE_450_length_35101_cov_3.452003	176375	2595661	0.0679499
NODE_2196_length_22795_cov_3.381345	188159	1691320	0.11125
NODE_1397_length_26131_cov_3.563883	162776	2020878	0.0805472
NODE_267_length_39608_cov_3.824141	436602	3492646	0.125006
NODE_2493_length_21876_cov_3.664463	495027	2187989	0.226247
NODE_3125_length_20246_cov_3.800020	115125	1654165	0.069597
NODE_805_length_30539_cov_3.536038	677486	3624161	0.186936
NODE_3092_length_20310_cov_3.277720	113528	1443804	0.0786312
NODE_734_length_31161_cov_3.604501	138602	2257646	0.0613923
NODE_1309_length_26628_cov_3.558332	172256	2066368	0.0833617
NODE_1751_length_24488_cov_3.181147	835323	3590447	0.232652
NODE_1718_length_24593_cov_3.977260	172200	1912114	0.0900574
NODE_2113_length_23116_cov_2.968806	930913	4307326	0.216123
NODE_1657_length_24839_cov_3.338157	153234	1750249	0.0875498
NODE_2905_length_20745_cov_3.501841	97083	1484885	0.0653808
NODE_1101_length_27975_cov_3.378605	127301	1996086	0.0637753
NODE_1205_length_27298_cov_3.876356	223612	2206543	0.10134
NODE_936_length_29283_cov_4.010588	101779	2350381	0.0433032
NODE_680_length_31881_cov_3.770247	163925	2398931	0.0683325
NODE_2960_length_20619_cov_3.437281	241584	1772780	0.136274
NODE_1870_length_23942_cov_3.614856	130884	1856202	0.0705117
NODE_3240_length_20018_cov_3.587228	535627	3128981	0.171183
NODE_2892_length_20780_cov_3.133214	224345	1649177	0.136035
NODE_2450_length_22019_cov_3.547217	160017	1808076	0.0885013
NODE_1789_length_24351_cov_3.448582	145235	1771307	0.0819931
NODE_2327_length_22397_cov_3.920038	275407	2605678	0.105695
NODE_3025_length_20457_cov_3.904411	233304	1706816	0.13669
NODE_2873_length_20823_cov_3.660490	77953	1470924	0.0529959
NODE_2846_length_20904_cov_3.498967	145318	1530425	0.0949527
NODE_1801_length_24251_cov_3.143839	1048072	4765852	0.219913
NODE_1842_length_24057_cov_3.525962	565851	3262889	0.17342
NODE_2027_length_23379_cov_3.402491	125983	1674716	0.0752265
NODE_1575_length_25222_cov_3.466624	238065	1906686	0.124858
NODE_2176_length_22873_cov_3.378809	416052	2847102	0.146132
NODE_2218_length_22709_cov_4.261035	74857	1651777	0.0453191
NODE_270_length_39529_cov_3.808598	292615	3131684	0.0934369
NODE_112_length_46055_cov_3.964510	426170	3796255	0.112261
NODE_1855_length_24002_cov_3.532067	135200	1846346	0.0732257
NODE_2782_length_21086_cov_3.353076	111582	1511423	0.0738258
NODE_924_length_29360_cov_3.526708	1033741	3593284	0.287687
NODE_2532_length_21783_cov_3.267340	468110	2539903	0.184302
NODE_3110_length_20272_cov_3.445001	187671	1586408	0.118299
NODE_1287_length_26773_cov_3.666642	289575	2187192	0.132396
NODE_2842_length_20913_cov_3.500865	79537	1589716	0.0500322
NODE_1648_length_24895_cov_3.639619	212334	1946274	0.109098
NODE_1841_length_24058_cov_3.444384	151331	1888290	0.0801418
NODE_2133_length_23040_cov_3.907938	76098	1695089	0.0448932
NODE_1937_length_23671_cov_3.519048	248651	1947035	0.127708
NODE_1314_length_26596_cov_4.060611	178942	2026100	0.0883184
NODE_2351_length_22302_cov_3.092465	339924	1965559	0.17294
NODE_1291_length_26757_cov_3.392715	223846	2026618	0.110453
NODE_2037_length_23349_cov_3.449118	122896	1847998	0.0665022
NODE_2390_length_22190_cov_3.857272	243997	1873043	0.130268
NODE_265_length_39618_cov_3.738101	689143	4497949	0.153213
NODE_836_length_30144_cov_3.505142	456111	3029070	0.150578
NODE_2082_length_23238_cov_3.536713	323383	2223376	0.145447
NODE_693_length_31706_cov_3.751985	277518	2575708	0.107744
NODE_1893_length_23812_cov_3.274027	748205	2741333	0.272935
NODE_3232_length_20041_cov_3.439324	100798	1511539	0.0666857
NODE_2016_length_23404_cov_3.795924	134698	1691743	0.0796208
NODE_569_length_33269_cov_3.559723	294482	2703937	0.108909
NODE_2230_length_22688_cov_3.332551	241835	2231164	0.10839
NODE_599_length_32824_cov_3.156700	550060	3586766	0.153358
NODE_1424_length_25990_cov_3.403538	392482	2755529	0.142434
NODE_2242_length_22647_cov_3.763970	230893	1803090	0.128054
NODE_3026_length_20457_cov_3.891198	73978	1478546	0.0500343
NODE_1844_length_24055_cov_3.760728	187505	2035915	0.0920986
NODE_797_length_30634_cov_3.519600	231350	2366469	0.0977617
NODE_697_length_31660_cov_2.922214	624047	4425121	0.141024
NODE_2735_length_21226_cov_3.566006	285161	2185890	0.130455
NODE_1459_length_25830_cov_4.009560	276117	2184154	0.126418
NODE_3117_length_20261_cov_3.430215	232921	1877879	0.124034
NODE_2144_length_23014_cov_3.575780	173122	1845717	0.0937966
NODE_2260_length_22583_cov_4.475271	1084040	10985024	0.0986834
NODE_510_length_34065_cov_3.671466	265321	2682168	0.0989204
NODE_198_length_41807_cov_3.509710	302726	3918805	0.0772496
NODE_1475_length_25734_cov_3.348157	388578	3033469	0.128097
NODE_1554_length_25310_cov_3.095593	337420	2103815	0.160385
NODE_2520_length_21815_cov_3.295220	120199	1677357	0.0716598
NODE_2349_length_22311_cov_3.468395	186822	1725760	0.108255
NODE_2379_length_22218_cov_3.474208	283471	2010354	0.141006
NODE_2649_length_21447_cov_3.563659	182032	1713497	0.106234
NODE_1788_length_24355_cov_3.621743	202907	1867271	0.108665
NODE_652_length_32107_cov_3.448232	467222	2890626	0.161634
NODE_252_length_39934_cov_3.735735	853308	5591782	0.1526
NODE_2843_length_20913_cov_3.061689	187690	1790443	0.104829
NODE_1468_length_25774_cov_4.048685	441279	3022083	0.146018
NODE_1066_length_28235_cov_3.991292	169073	2076772	0.0814114
NODE_847_length_30001_cov_3.548860	288621	2544266	0.11344
NODE_2363_length_22278_cov_3.175121	155316	1748388	0.0888338
NODE_1179_length_27479_cov_3.615814	142066	2068774	0.0686716
NODE_280_length_39244_cov_3.660110	229907	2838507	0.0809957
NODE_2380_length_22215_cov_3.921279	92309	1677466	0.0550288
NODE_1694_length_24661_cov_3.383967	207246	1972678	0.105058
NODE_2359_length_22282_cov_3.047694	142806	1600639	0.0892181
NODE_2186_length_22832_cov_3.372586	199547	1779356	0.112146
NODE_2710_length_21289_cov_3.121520	348323	2435199	0.143037
NODE_2639_length_21464_cov_3.432062	173536	1581180	0.109751
NODE_601_length_32787_cov_3.393570	1015471	6324616	0.160559
NODE_769_length_30846_cov_3.345725	511529	2793896	0.183088
NODE_2939_length_20665_cov_4.160848	123962	1501676	0.0825491
NODE_2457_length_21998_cov_3.620759	426240	2208385	0.19301
NODE_340_length_37563_cov_3.672726	306251	2921614	0.104823
NODE_1838_length_24073_cov_3.516726	168034	1787823	0.0939881
NODE_3090_length_20312_cov_3.000247	412001	2108360	0.195413
NODE_388_length_36360_cov_3.854444	1455719	8141613	0.1788
NODE_933_length_29304_cov_21.712104	266985	3756064	0.0710811
NODE_1057_length_28294_cov_3.708601	140786	2187747	0.064352
NODE_915_length_29432_cov_3.626905	181992	2274919	0.0799993
NODE_2613_length_21549_cov_3.472354	343586	2689501	0.127751
NODE_1047_length_28360_cov_3.458512	305905	2168685	0.141056
NODE_2587_length_21629_cov_3.080260	1605672	12653278	0.126898
NODE_2024_length_23383_cov_3.411742	148261	1705789	0.0869164
NODE_2348_length_22311_cov_3.656717	100022	1641346	0.060939
NODE_1676_length_24750_cov_3.968439	102813	1693147	0.060723
NODE_2582_length_21653_cov_3.536559	132058	1692903	0.0780068
NODE_2657_length_21441_cov_3.383094	115869	1637242	0.0707708
NODE_938_length_29272_cov_3.644740	340926	2913243	0.117026
NODE_334_length_37719_cov_2.941574	506247	3172824	0.159557
NODE_528_length_33795_cov_3.887791	168219	2610552	0.0644381
NODE_864_length_29816_cov_3.247771	503813	2697077	0.1868
NODE_97_length_47612_cov_3.944373	185422	3487423	0.0531688
NODE_1601_length_25039_cov_4.034162	311592	4026175	0.0773916
NODE_732_length_31173_cov_3.515029	640883	4431363	0.144624
NODE_1135_length_27727_cov_3.478283	182004	2202077	0.0826511
NODE_3192_length_20122_cov_4.243919	502139	3081826	0.162936
NODE_1677_length_24749_cov_3.438012	249402	2022780	0.123297
NODE_170_length_42632_cov_3.570381	161221	3046166	0.0529259
NODE_2249_length_22624_cov_3.547969	96887	1610875	0.0601456
NODE_1654_length_24848_cov_3.006950	337104	2190245	0.153912
NODE_1104_length_27957_cov_3.296109	204652	2106774	0.09714
NODE_482_length_34480_cov_3.915273	167177	2384684	0.0701045
NODE_3234_length_20036_cov_3.691177	1002100	2892923	0.346397
NODE_2675_length_21400_cov_3.577766	155792	1550550	0.100475
NODE_1026_length_28565_cov_3.782477	151495	2199159	0.0688877
NODE_1685_length_24705_cov_3.538405	252669	2724976	0.0927234
NODE_2783_length_21084_cov_3.768215	163944	1550204	0.105756
NODE_1645_length_24900_cov_3.388936	211247	1963147	0.107606
NODE_735_length_31148_cov_3.865825	103689	2348195	0.0441569
NODE_692_length_31718_cov_3.562320	374924	3352104	0.111847
NODE_1191_length_27407_cov_3.357111	168878	1918690	0.0880173
NODE_3153_length_20204_cov_3.533947	137248	1525166	0.0899889
NODE_721_length_31323_cov_3.767679	243906	2748263	0.0887491
NODE_208_length_41351_cov_3.750703	202223	2983271	0.0677857
NODE_491_length_34348_cov_4.661129	692733	4684929	0.147864
NODE_1321_length_26540_cov_3.518853	267603	2252429	0.118806
NODE_293_length_38841_cov_4.123664	529088	3866763	0.13683
NODE_67_length_51503_cov_3.535464	537835	4346489	0.12374
NODE_767_length_30874_cov_3.254297	709447	2953675	0.240191
NODE_702_length_31638_cov_3.709534	216840	2635172	0.0822868
NODE_1672_length_24766_cov_3.759963	134029	1894066	0.0707626
NODE_2620_length_21510_cov_3.510112	167554	1649845	0.101557
NODE_2686_length_21367_cov_3.584211	289949	1914286	0.151466
NODE_887_length_29605_cov_3.578120	358708	2574259	0.139344
NODE_3172_length_20169_cov_3.181016	528221	2375269	0.222384
NODE_1148_length_27652_cov_3.417486	241636	2304219	0.104867
NODE_2277_length_22539_cov_3.241221	184813	1634064	0.1131
NODE_535_length_33724_cov_3.428074	396417	2897573	0.13681
NODE_649_length_32121_cov_3.644338	890061	5634235	0.157974
NODE_2995_length_20531_cov_3.484583	167215	1676394	0.0997468
NODE_1264_length_26954_cov_3.306349	115565	1967061	0.0587501
NODE_1699_length_24638_cov_3.473736	26377082	65362314	0.403552
NODE_2914_length_20728_cov_3.621892	616430	2604382	0.23669
NODE_651_length_32108_cov_3.618920	263889	2590862	0.101854
NODE_1586_length_25145_cov_3.565879	1094698	3660009	0.299097
NODE_548_length_33540_cov_3.359828	250786	2588827	0.0968724
NODE_2107_length_23143_cov_3.382703	194857	2441060	0.0798247
NODE_376_length_36727_cov_3.316780	690761	4149146	0.166483
NODE_2691_length_21355_cov_3.659296	126252	1673403	0.0754463
NODE_1369_length_26262_cov_3.714635	140744	1878039	0.074942
NODE_2717_length_21264_cov_3.645122	109196	1499216	0.0728354
NODE_2946_length_20645_cov_3.659544	262066	2026491	0.12932
NODE_833_length_30173_cov_3.528530	355433	2536093	0.14015
NODE_1623_length_24982_cov_3.314190	323844	2641046	0.12262
NODE_393_length_36113_cov_3.457655	421230	3121896	0.134928
NODE_900_length_29549_cov_3.219185	514337	2858821	0.179912
NODE_163_length_42880_cov_3.903205	564823	3821294	0.147809
NODE_2903_length_20753_cov_3.483006	1466212	8417557	0.174185
NODE_2231_length_22687_cov_3.076855	470860	3061442	0.153803
NODE_2705_length_21310_cov_3.377776	530557	2854394	0.185874
NODE_2200_length_22783_cov_24.466981	705197	5392922	0.130763
NODE_1580_length_25202_cov_3.223320	357016	2121195	0.168309
NODE_1849_length_24038_cov_3.420987	225722	2095715	0.107706
NODE_2223_length_22697_cov_3.866802	249641	2205577	0.113186
NODE_2353_length_22297_cov_3.627939	280176	1877120	0.149258
NODE_841_length_30068_cov_3.692482	166969	2167885	0.0770193
NODE_2910_length_20738_cov_3.477833	302817	1995703	0.151735
NODE_2012_length_23428_cov_3.126452	222039	1889227	0.117529
NODE_2898_length_20761_cov_3.725293	113570	1637934	0.0693373
NODE_901_length_29524_cov_4.233883	262033	2477342	0.105772
NODE_2406_length_22152_cov_3.487054	116632	1622102	0.0719018
NODE_1140_length_27681_cov_3.550721	128265	2007297	0.0638994
NODE_186_length_42282_cov_3.590356	434254	3401503	0.127665
NODE_1150_length_27649_cov_4.857822	445150	4273509	0.104165
NODE_1212_length_27255_cov_3.565768	151026	2110400	0.0715627
NODE_1861_length_23965_cov_3.299087	227213	1927094	0.117904
NODE_3075_length_20338_cov_3.788082	84469	1496758	0.0564346
NODE_1490_length_25663_cov_3.766977	210397	2035918	0.103343
NODE_3065_length_20353_cov_3.825368	231812	2490925	0.0930626
NODE_430_length_35528_cov_3.410793	223671	2694754	0.0830024
NODE_2485_length_21923_cov_3.348836	1111705	3929199	0.282934
NODE_1024_length_28592_cov_3.411013	564391	3010599	0.187468
NODE_1967_length_23557_cov_3.434095	308767	2200990	0.140286
NODE_2938_length_20666_cov_3.809014	92644	1556672	0.0595141
NODE_1127_length_27776_cov_3.779420	452484	2665161	0.169777
NODE_294_length_38836_cov_3.483749	279544	2879605	0.0970772
NODE_1504_length_25605_cov_3.472830	218805	2151738	0.101688
NODE_3158_length_20200_cov_4.383215	161729	1527024	0.105911
NODE_235_length_40607_cov_3.436136	242917	2997695	0.0810346
NODE_1569_length_25242_cov_3.544843	174197	1801908	0.0966736
NODE_1508_length_25592_cov_3.668144	140677	1895131	0.0742308
NODE_3132_length_20241_cov_3.349419	140631	1472776	0.095487
NODE_1466_length_25784_cov_3.901616	180831	2062827	0.0876617
NODE_1116_length_27831_cov_3.355726	356849	2342042	0.152367
NODE_220_length_40996_cov_6.368976	1893966	17447003	0.108555
NODE_2529_length_21792_cov_3.347762	123509	1621474	0.0761708
NODE_1325_length_26519_cov_3.566162	279066	2034911	0.137139
NODE_160_length_42998_cov_3.833772	621415	4276149	0.145321
NODE_655_length_32064_cov_3.476615	215717	2518388	0.0856568
NODE_1519_length_25506_cov_3.476483	168516	2035557	0.0827862
NODE_1051_length_28336_cov_21.318200	125906	2734493	0.0460436
NODE_2433_length_22065_cov_3.729400	142721	1637220	0.0871728
NODE_2298_length_22474_cov_3.291039	526812	2554285	0.206246
NODE_2435_length_22058_cov_3.213580	365983	2523674	0.14502
NODE_1238_length_27119_cov_3.093523	185448	1975292	0.0938838
NODE_1298_length_26721_cov_3.404252	365592	2503604	0.146026
NODE_2810_length_21004_cov_3.274193	297295	2085079	0.142582
NODE_1697_length_24642_cov_3.272868	792054	4123777	0.19207
NODE_2104_length_23154_cov_3.371329	405597	2169528	0.186952
NODE_1921_length_23713_cov_3.555264	157423	1828428	0.0860975
NODE_677_length_31907_cov_4.101201	255109	3215246	0.0793435
NODE_1365_length_26279_cov_3.576203	159452	2010960	0.0792915
NODE_2749_length_21177_cov_3.698358	112458	1590893	0.0706886
NODE_1871_length_23941_cov_3.592694	279249	2134160	0.130847
NODE_2676_length_21399_cov_3.429765	141490	1623103	0.0871725
NODE_12_length_68210_cov_3.690256	544821	5338330	0.102058
NODE_2893_length_20779_cov_3.876692	119915	1514641	0.0791706
NODE_1505_length_25602_cov_6.772576	864513	6021778	0.143564
NODE_507_length_34069_cov_3.456344	207795	2818282	0.0737311
NODE_2902_length_20754_cov_3.613508	321641	1961979	0.163937
NODE_3211_length_20085_cov_3.419794	225979	1831452	0.123388
NODE_1192_length_27407_cov_3.223414	470994	2791917	0.168699
NODE_137_length_44682_cov_3.434605	430774	3603083	0.119557
NODE_2472_length_21966_cov_3.207436	222602	1635546	0.136103
NODE_839_length_30106_cov_3.841370	300156	2555746	0.117444
NODE_1482_length_25692_cov_3.308913	1184170	9768038	0.121229
NODE_122_length_45330_cov_3.460260	295655	3463287	0.0853683
NODE_1126_length_27779_cov_3.176481	156312	2024807	0.0771985
NODE_780_length_30774_cov_3.506797	711529	4508727	0.157812
NODE_2193_length_22799_cov_3.292731	168271	1603964	0.104909
NODE_1700_length_24635_cov_3.210099	423503	2581774	0.164036
NODE_2447_length_22027_cov_2.883938	333954	2422428	0.137859
NODE_2945_length_20647_cov_3.225667	265524	1774524	0.149631
NODE_2046_length_23331_cov_3.320420	345024	2146059	0.160771
NODE_2874_length_20823_cov_3.197742	506947	2867695	0.176779
NODE_2080_length_23242_cov_3.768742	118648	1788811	0.0663279
NODE_696_length_31669_cov_3.428160	183392	2529888	0.0724902
NODE_2374_length_22248_cov_3.335049	167548	1723550	0.097211
NODE_370_length_36789_cov_3.401554	307312	2816824	0.109099
NODE_2389_length_22193_cov_3.339097	142817	1552325	0.092002
NODE_231_length_40711_cov_3.532453	385232	3709799	0.103842
NODE_772_length_30821_cov_3.583979	312054	2584212	0.120754
NODE_2019_length_23392_cov_3.431503	247798	1930250	0.128376
NODE_1631_length_24958_cov_3.486785	371421	2484079	0.149521
NODE_643_length_32163_cov_3.998971	146849	2471608	0.0594144
NODE_687_length_31787_cov_3.681141	330050	2986339	0.11052
NODE_3167_length_20177_cov_3.452784	240362	1656699	0.145085
NODE_2980_length_20575_cov_2.820717	301077	1752753	0.171774
NODE_1840_length_24068_cov_3.717260	224365	2044298	0.109752
NODE_2097_length_23189_cov_4.069857	118295	1759503	0.0672321
NODE_2640_length_21463_cov_3.642295	112417	1547619	0.0726387
